aug_id,mean_gain,median_gain,help_rate,hurt_rate,p05_gain,p90_gain,p95_gain,p99_gain,augmentation_name,transform_class,selection_frequency,oracle_frequency,global_weight,class_mean_weight,class_active_frequency,help_minus_hurt_rate,global_weight_rank,mean_gain_rank
aug_016,-0.201413025169538,-8.500120499999999e-05,0.32036,0.649,-2.493570655,0.3335096200000013,1.2657064549999992,3.5937936319999984,safe_rotate_minus_20,SafeRotate,0.4888,0.1872,0.00045146947,0.01329752,1.0,-0.32864000000000004,56,82
aug_095,-0.06749955687707533,-5.7878149000000005e-05,0.29012,0.6668,-1.4931140749999998,0.31204066700000066,1.0525566849999997,3.0422846189999992,downscale_050_area_linear,Downscale,0.4356,0.1086,0.0004499578,0.004754381,1.0,-0.37667999999999996,57,66
aug_046,-0.007909323147654879,0.0,0.43824,0.46444,-0.243991636,0.06126267460000002,0.1970815779999997,0.6854385856999917,random_tone_curve_strong,RandomToneCurve,0.0,0.1476,0.00044358085,0.0059641427,1.0,-0.0262,58,35
aug_067,-0.02782077486647206,-2.384186e-07,0.42312,0.5122,-0.813091558,0.18965740500000147,0.6076215789999996,1.7513825399999932,planckian_daylight_blackbody,PlanckianJitter,0.6594,0.1606,0.00044299779,0.008132871,1.0,-0.08907999999999999,59,55
aug_088,-0.007594946385940328,0.0,0.46392,0.4432,-0.271576946,0.06842386160000001,0.22221805549999984,0.6404752221999971,enhance_detail_light,Enhance,0.0048,0.1342,0.0004355648,0.0052959076,1.0,0.020720000000000016,60,34
aug_036,-0.001800363192250112,0.0,0.43348,0.48156,-0.31116415849999995,0.1058250020000006,0.29871564699999986,0.7936154414999993,contrast_minus_20,RandomBrightnessContrast,0.0,0.149,0.00042922416,0.0052876915,1.0,-0.04808000000000001,61,12
aug_042,-0.0025944259088498756,0.0,0.4294,0.46652,-0.163573957,0.05221019350000003,0.14631306499999996,0.40318101899999964,gamma_110,RandomGamma,0.0,0.0984,0.00042835402,0.0038139794,1.0,-0.037119999999999986,62,17
aug_058,-0.006646229362773813,0.0,0.42484,0.49092,-0.32529590999999997,0.09845492200000072,0.2975361909999997,0.8123508365999988,value_minus_15,HueSaturationValue,0.0006,0.1262,0.00042781676,0.004381811,1.0,-0.06608000000000003,63,30
aug_044,-0.005031525473094756,0.0,0.4188,0.47748,-0.18209609699999998,0.04788209810000012,0.15251000649999982,0.5565780562999992,random_tone_curve_light,RandomToneCurve,0.0,0.0958,0.00042578302,0.00388827,1.0,-0.05868000000000001,64,26
aug_071,-0.0032883301004267024,0.0,0.4458,0.46248,-0.2850311615,0.07652258000000003,0.24763728049999995,0.8610627929999969,planckian_cool_cied,PlanckianJitter,0.0002,0.056,0.00042240735,0.0038440367,1.0,-0.016680000000000028,65,20
aug_030,-0.01328091455750432,-2.3841926e-07,0.40376,0.52352,-0.49866431549999995,0.13722950900000003,0.4252601739999998,1.2324166499999993,brightness_minus_10,RandomBrightnessContrast,0.0236,0.1484,0.00042217987,0.0057754517,1.0,-0.11975999999999998,66,41
aug_045,-0.01015069594463001,0.0,0.42796,0.48492,-0.32770018149999997,0.08378684800000007,0.266685042,0.7886842009999983,random_tone_curve_medium,RandomToneCurve,0.0,0.1122,0.00042119413,0.004404644,1.0,-0.05696000000000001,67,38
aug_087,-0.0024596231344704432,0.0,0.45216,0.43144,-0.1212764143,0.03334864100000018,0.10470496649999993,0.31633369999999844,unsharp_mask_light,UnsharpMask,0.0,0.073,0.00041970718,0.0042297835,1.0,0.020720000000000016,68,16
aug_001,-1.1773109123656427,-0.066568235,0.20856,0.77532,-6.332661665,0.15015775900000083,1.246418825,4.521407670999987,square_r90,SquareSymmetry,0.0194,0.1346,0.0004181971,0.007536128,1.0,-0.56676,69,99
aug_034,-0.0007520932307733068,0.0,0.43448,0.46716,-0.1864916135,0.062167823300000036,0.18333686649999995,0.4999424614999993,contrast_minus_10,RandomBrightnessContrast,0.0,0.1044,0.00041779815,0.004295665,1.0,-0.03268000000000004,70,8
aug_038,-0.018645251271775333,-4.7683784e-07,0.39904,0.53328,-0.603648555,0.16816265900000008,0.5103444715,1.4783481389999897,brightness_contrast_minus_10,RandomBrightnessContrast,0.1702,0.19,0.0004163407,0.0062976526,1.0,-0.13423999999999997,71,48
aug_076,-0.06039016099414512,-4.3036640000000003e-05,0.29792,0.65688,-1.420981765,0.2951667310000005,0.9985314619999995,2.8961607699999776,gaussian_blur_sigma_10,GaussianBlur,0.3258,0.1106,0.00041350146,0.0049851667,1.0,-0.35896,72,65
aug_000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,identity,1.0,1.0,0.00041315518,0.0038120302,1.0,0.0,73,5
aug_054,-0.004275295551794408,0.0,0.42764,0.47192,-0.3196582555,0.09540456050000057,0.2971247449999999,0.9223434687999933,saturation_minus_15,HueSaturationValue,0.0018,0.1466,0.0004112754,0.006591799,1.0,-0.044279999999999986,74,23
aug_039,-0.015273935129927495,0.0,0.42884,0.49792,-0.5505660969999999,0.1427283200000002,0.44935426999999956,1.2601127889999937,brightness_contrast_plus_10,RandomBrightnessContrast,0.19,0.1892,0.0004020954,0.006139626,1.0,-0.06907999999999997,75,43
aug_061,-0.0030829896340769623,0.0,0.44928,0.46828,-0.3503483275,0.1083937260000003,0.328448334,0.9019442793999985,rgb_red_plus_10,RGBShift,0.0,0.1474,0.00040085491,0.006623358,1.0,-0.01899999999999996,76,19
aug_064,-0.0020518182136013054,0.0,0.44272,0.47536,-0.316714791,0.10878972140000004,0.32058719999999996,0.8919097078999997,rgb_blue_minus_10,RGBShift,0.0,0.1316,0.00040054478,0.0059950138,1.0,-0.03264,77,14
aug_073,-0.046600912224751864,-3.77920295e-05,0.29364,0.65936,-1.2583032399999998,0.27871919800000045,0.9531223414999997,2.7617574249999985,blur_3,Blur,0.328,0.094,0.00039850242,0.004131971,1.0,-0.36571999999999993,78,59
